GO_ID	NS	Name	p_uncorrected	p_fdr_bh	enrichment	study_count	pop_count
GO:0042056	MF	chemoattractant activity	8.604e-12	2.880e-10	depleted	62	146
GO:0016491	MF	oxidoreductase activity	9.638e-11	2.966e-09	depleted	26	77
GO:0004860	MF	protein kinase inhibitor activity	5.601e-10	1.595e-08	depleted	1	21
GO:0140911	MF	pore-forming activity	1.854e-06	3.537e-05	depleted	0	11
GO:0005198	MF	structural molecule activity	4.153e-05	6.442e-04	depleted	4	18
GO:0008932	MF	lytic endotransglycosylase activity	4.920e-05	7.278e-04	depleted	1	11
GO:0051428	MF	peptide hormone receptor binding	6.793e-05	9.673e-04	depleted	0	8
GO:0008745	MF	N-acetylmuramoyl-L-alanine amidase activity	6.793e-05	9.673e-04	depleted	0	8
GO:0016521	MF	pituitary adenylate cyclase activating polypeptide activity	7.489e-04	7.601e-03	depleted	0	6
GO:0030246	MF	carbohydrate binding	2.486e-03	2.146e-02	depleted	0	5
GO:0030492	MF	hemoglobin binding	5.597e-03	4.014e-02	depleted	6	17
