GO_ID	NS	Name	p_uncorrected	p_fdr_bh	enrichment	study_count	pop_count
GO:0035434	BP	copper ion transmembrane transport	3.417e-03	2.244e-02	enriched	7	7
GO:0006465	BP	signal peptide processing	3.417e-03	2.244e-02	enriched	7	7
GO:0007586	BP	digestion	3.498e-03	2.288e-02	enriched	10	11
GO:0010098	BP	suspensor development	7.697e-03	4.439e-02	enriched	6	6
GO:0006874	BP	intracellular calcium ion homeostasis	7.697e-03	4.439e-02	enriched	6	6
GO:0000398	BP	mRNA splicing, via spliceosome	7.697e-03	4.439e-02	enriched	6	6
GO:0006123	BP	mitochondrial electron transport, cytochrome c to oxygen	7.697e-03	4.439e-02	enriched	6	6
GO:0032981	BP	mitochondrial respiratory chain complex I assembly	7.697e-03	4.439e-02	enriched	6	6
GO:0030001	BP	metal ion transport	7.697e-03	4.439e-02	enriched	6	6
GO:1901371	BP	regulation of leaf morphogenesis	7.697e-03	4.439e-02	enriched	6	6
GO:0000902	BP	cell morphogenesis	7.697e-03	4.439e-02	enriched	6	6
GO:0006850	BP	pyruvate import into mitochondria	7.697e-03	4.439e-02	enriched	6	6
GO:0050793	BP	regulation of developmental process	7.697e-03	4.439e-02	enriched	6	6
GO:0006506	BP	GPI anchor biosynthetic process	7.697e-03	4.439e-02	enriched	6	6
GO:2000280	BP	regulation of root development	7.697e-03	4.439e-02	enriched	6	6
GO:1902025	BP	nitrate import	7.697e-03	4.439e-02	enriched	6	6
GO:0016020	CC	membrane	3.733e-60	8.335e-58	enriched	263	297
GO:0005840	CC	ribosome	4.896e-46	6.957e-44	enriched	147	152
GO:0005886	CC	plasma membrane	1.215e-38	1.356e-36	enriched	156	172
GO:0009506	CC	plasmodesma	1.966e-25	1.536e-23	enriched	74	75
GO:0005789	CC	endoplasmic reticulum membrane	3.827e-20	2.492e-18	enriched	59	60
GO:0022625	CC	cytosolic large ribosomal subunit	5.993e-16	3.123e-14	enriched	47	48
GO:0005739	CC	mitochondrion	1.584e-15	7.989e-14	enriched	79	94
GO:0005634	CC	nucleus	7.742e-15	3.667e-13	enriched	75	89
GO:0005743	CC	mitochondrial inner membrane	1.560e-14	7.171e-13	enriched	39	39
GO:0009277	CC	fungal-type cell wall	2.475e-11	9.673e-10	enriched	30	30
GO:0030134	CC	COPII-coated ER to Golgi transport vesicle	3.331e-09	1.041e-07	enriched	24	24
GO:0005783	CC	endoplasmic reticulum	1.818e-08	4.900e-07	enriched	28	30
GO:0005794	CC	Golgi apparatus	5.868e-08	1.433e-06	enriched	29	32
GO:0045271	CC	respiratory chain complex I	1.967e-07	4.269e-06	enriched	19	19
GO:0005868	CC	cytoplasmic dynein complex	4.443e-07	9.018e-06	enriched	18	18
GO:0022627	CC	cytosolic small ribosomal subunit	4.895e-07	9.809e-06	enriched	21	22
GO:0042600	CC	egg chorion	1.003e-06	1.867e-05	enriched	17	17
GO:0009523	CC	photosystem II	2.265e-06	3.891e-05	enriched	16	16
GO:0009986	CC	cell surface	4.539e-06	7.629e-05	enriched	21	23
GO:0000139	CC	Golgi membrane	9.096e-06	1.329e-04	enriched	24	28
GO:0009539	CC	photosystem II reaction center	1.154e-05	1.582e-04	enriched	14	14
GO:0033179	CC	proton-transporting V-type ATPase, V0 domain	1.154e-05	1.582e-04	enriched	14	14
GO:0005742	CC	mitochondrial outer membrane translocase complex	2.604e-05	3.336e-04	enriched	13	13
GO:0005730	CC	nucleolus	5.873e-05	7.116e-04	enriched	12	12
GO:0045259	CC	proton-transporting ATP synthase complex	5.873e-05	7.116e-04	enriched	12	12
GO:0015934	CC	large ribosomal subunit	1.015e-04	1.221e-03	enriched	14	15
GO:0005741	CC	mitochondrial outer membrane	1.325e-04	1.500e-03	enriched	11	11
GO:0031966	CC	mitochondrial membrane	1.325e-04	1.500e-03	enriched	11	11
GO:0005819	CC	spindle	2.986e-04	3.133e-03	enriched	10	10
GO:0008250	CC	oligosaccharyltransferase complex	2.986e-04	3.133e-03	enriched	10	10
GO:0005829	CC	cytosol	4.671e-04	4.804e-03	enriched	26	35
GO:0030964	CC	NADH dehydrogenase complex	6.731e-04	5.781e-03	enriched	9	9
GO:0000930	CC	gamma-tubulin complex	6.731e-04	5.781e-03	enriched	9	9
GO:0005758	CC	mitochondrial intermembrane space	6.731e-04	5.781e-03	enriched	9	9
GO:0000931	CC	gamma-tubulin ring complex	6.731e-04	5.781e-03	enriched	9	9
GO:0009507	CC	chloroplast	6.731e-04	5.781e-03	enriched	9	9
GO:0031021	CC	interphase microtubule organizing center	6.731e-04	5.781e-03	enriched	9	9
GO:0045275	CC	respiratory chain complex III	6.731e-04	5.781e-03	enriched	9	9
GO:0005737	CC	cytoplasm	1.295e-03	1.060e-02	enriched	73	124
GO:0005813	CC	centrosome	1.517e-03	1.168e-02	enriched	8	8
GO:0062129	CC	chitin-based extracellular matrix	1.517e-03	1.168e-02	enriched	8	8
GO:0030286	CC	dynein complex	1.517e-03	1.168e-02	enriched	8	8
GO:0005762	CC	mitochondrial large ribosomal subunit	1.517e-03	1.168e-02	enriched	8	8
GO:0009512	CC	cytochrome b6f complex	1.517e-03	1.168e-02	enriched	8	8
GO:0005768	CC	endosome	3.417e-03	2.244e-02	enriched	7	7
GO:0005763	CC	mitochondrial small ribosomal subunit	7.697e-03	4.439e-02	enriched	6	6
GO:0044306	CC	neuron projection terminus	7.697e-03	4.439e-02	enriched	6	6
GO:0033185	CC	dolichol-phosphate-mannose synthase complex	7.697e-03	4.439e-02	enriched	6	6
GO:0045277	CC	respiratory chain complex IV	7.697e-03	4.439e-02	enriched	6	6
GO:0042721	CC	TIM22 mitochondrial import inner membrane insertion complex	7.697e-03	4.439e-02	enriched	6	6
GO:0005882	CC	intermediate filament	7.697e-03	4.439e-02	enriched	6	6
GO:0005761	CC	mitochondrial ribosome	7.697e-03	4.439e-02	enriched	6	6
GO:0003735	MF	structural constituent of ribosome	5.479e-53	9.514e-51	enriched	170	176
GO:0009055	MF	electron transfer activity	6.909e-20	4.000e-18	enriched	54	54
GO:0005549	MF	odorant binding	8.037e-14	3.589e-12	enriched	37	37
GO:0003723	MF	RNA binding	8.509e-12	3.500e-10	enriched	35	36
GO:0005199	MF	structural constituent of cell wall	5.607e-11	1.992e-09	enriched	29	29
GO:0005184	MF	neuropeptide hormone activity	4.006e-10	1.304e-08	enriched	58	72
GO:0005179	MF	hormone activity	1.074e-08	3.110e-07	enriched	75	104
GO:0008320	MF	protein transmembrane transporter activity	3.851e-08	9.558e-07	enriched	21	21
GO:0048018	MF	receptor ligand activity	3.851e-08	9.558e-07	enriched	21	21
GO:0008270	MF	zinc ion binding	2.913e-07	6.238e-06	enriched	25	27
GO:0045505	MF	dynein intermediate chain binding	4.443e-07	9.018e-06	enriched	18	18
GO:0005213	MF	structural constituent of egg chorion	1.003e-06	1.867e-05	enriched	17	17
GO:0015078	MF	proton transmembrane transporter activity	2.265e-06	3.891e-05	enriched	16	16
GO:0046961	MF	proton-transporting ATPase activity, rotational mechanism	5.114e-06	7.760e-05	enriched	15	15
GO:0005183	MF	gonadotropin hormone-releasing hormone activity	5.114e-06	7.760e-05	enriched	15	15
GO:0031530	MF	gonadotropin-releasing hormone receptor binding	5.114e-06	7.760e-05	enriched	15	15
GO:0001664	MF	G protein-coupled receptor binding	6.888e-06	1.035e-04	enriched	28	34
GO:0046872	MF	metal ion binding	9.058e-06	1.329e-04	enriched	20	22
GO:0008083	MF	growth factor activity	9.096e-06	1.329e-04	enriched	24	28
GO:0000981	MF	DNA-binding transcription factor activity, RNA polymerase II-specific	2.604e-05	3.336e-04	enriched	13	13
GO:0022857	MF	transmembrane transporter activity	2.604e-05	3.336e-04	enriched	13	13
GO:0031779	MF	melanocortin receptor binding	2.604e-05	3.336e-04	enriched	13	13
GO:0008047	MF	enzyme activator activity	5.873e-05	7.116e-04	enriched	12	12
GO:0004857	MF	enzyme inhibitor activity	1.325e-04	1.500e-03	enriched	11	11
GO:0016651	MF	oxidoreductase activity, acting on NAD(P)H	1.325e-04	1.500e-03	enriched	11	11
GO:0000978	MF	RNA polymerase II cis-regulatory region sequence-specific DNA binding	2.986e-04	3.133e-03	enriched	10	10
GO:0019838	MF	growth factor binding	2.986e-04	3.133e-03	enriched	10	10
GO:0003729	MF	mRNA binding	2.986e-04	3.133e-03	enriched	10	10
GO:0043565	MF	sequence-specific DNA binding	2.986e-04	3.133e-03	enriched	10	10
GO:0008556	MF	P-type potassium transmembrane transporter activity	2.986e-04	3.133e-03	enriched	10	10
GO:0003700	MF	DNA-binding transcription factor activity	5.577e-04	5.588e-03	enriched	14	16
GO:0033612	MF	receptor serine/threonine kinase binding	6.731e-04	5.781e-03	enriched	9	9
GO:0008147	MF	structural constituent of bone	6.731e-04	5.781e-03	enriched	9	9
GO:0003713	MF	transcription coactivator activity	6.731e-04	5.781e-03	enriched	9	9
GO:0005185	MF	neurohypophyseal hormone activity	6.731e-04	5.781e-03	enriched	9	9
GO:0070181	MF	small ribosomal subunit rRNA binding	1.517e-03	1.168e-02	enriched	8	8
GO:0046873	MF	metal ion transmembrane transporter activity	1.517e-03	1.168e-02	enriched	8	8
GO:0046933	MF	proton-transporting ATP synthase activity, rotational mechanism	1.517e-03	1.168e-02	enriched	8	8
GO:0008010	MF	structural constituent of chitin-based larval cuticle	1.517e-03	1.168e-02	enriched	8	8
GO:0030250	MF	guanylate cyclase activator activity	3.417e-03	2.244e-02	enriched	7	7
GO:0005375	MF	copper ion transmembrane transporter activity	3.417e-03	2.244e-02	enriched	7	7
GO:0039706	MF	co-receptor binding	3.417e-03	2.244e-02	enriched	7	7
GO:0004521	MF	RNA endonuclease activity	3.417e-03	2.244e-02	enriched	7	7
GO:0005201	MF	extracellular matrix structural constituent	6.816e-03	4.296e-02	enriched	9	10
GO:0031704	MF	apelin receptor binding	6.816e-03	4.296e-02	enriched	9	10
GO:0005507	MF	copper ion binding	7.697e-03	4.439e-02	enriched	6	6
GO:0001671	MF	ATPase activator activity	7.697e-03	4.439e-02	enriched	6	6
GO:0005200	MF	structural constituent of cytoskeleton	7.697e-03	4.439e-02	enriched	6	6
GO:0006952	BP	defense response	2.831e-298	4.425e-295	depleted	12	1085
GO:0042742	BP	defense response to bacterium	1.851e-161	1.447e-158	depleted	0	580
GO:0050830	BP	defense response to Gram-positive bacterium	8.356e-106	3.265e-103	depleted	0	390
GO:0050829	BP	defense response to Gram-negative bacterium	4.024e-97	1.258e-94	depleted	0	360
GO:0061844	BP	antimicrobial humoral immune response mediated by antimicrobial peptide	1.962e-68	5.111e-66	depleted	0	257
GO:0019731	BP	antibacterial humoral response	1.804e-57	3.524e-55	depleted	0	216
GO:0098542	BP	defense response to other organism	1.911e-42	2.297e-40	depleted	3	182
GO:0002227	BP	innate immune response in mucosa	8.802e-28	7.643e-26	depleted	0	105
GO:0045087	BP	innate immune response	7.973e-27	6.559e-25	depleted	12	165
GO:0060326	BP	cell chemotaxis	8.164e-21	5.548e-19	depleted	0	78
GO:0071222	BP	cellular response to lipopolysaccharide	5.228e-20	3.143e-18	depleted	0	75
GO:0051673	BP	disruption of plasma membrane integrity in another organism	5.228e-20	3.143e-18	depleted	0	75
GO:0006959	BP	humoral immune response	3.335e-17	1.798e-15	depleted	0	65
GO:0009253	BP	peptidoglycan catabolic process	4.720e-15	2.305e-13	depleted	0	56
GO:0016998	BP	cell wall macromolecule catabolic process	1.611e-12	6.805e-11	depleted	0	47
GO:0050832	BP	defense response to fungus	6.282e-11	2.182e-09	depleted	0	40
GO:0006879	BP	intracellular iron ion homeostasis	1.169e-10	3.888e-09	depleted	0	39
GO:0007165	BP	signal transduction	2.724e-08	7.095e-07	depleted	3	45
GO:0019836	BP	symbiont-mediated hemolysis of host erythrocyte	7.116e-08	1.711e-06	depleted	0	28
GO:0042130	BP	negative regulation of T cell proliferation	1.304e-07	2.871e-06	depleted	0	27
GO:0009063	BP	amino acid catabolic process	8.148e-07	1.572e-05	depleted	0	24
GO:0006955	BP	immune response	1.200e-06	2.206e-05	depleted	7	54
GO:0006644	BP	phospholipid metabolic process	4.699e-06	7.760e-05	depleted	2	31
GO:0031640	BP	killing of cells of another organism	3.519e-05	4.435e-04	depleted	0	18
GO:0006032	BP	chitin catabolic process	1.283e-04	1.500e-03	depleted	0	16
GO:0006869	BP	lipid transport	3.042e-04	3.169e-03	depleted	3	27
GO:0070098	BP	chemokine-mediated signaling pathway	9.112e-04	7.535e-03	depleted	0	12
GO:0043547	BP	positive regulation of GTPase activity	9.112e-04	7.535e-03	depleted	0	12
GO:0043542	BP	endothelial cell migration	9.112e-04	7.535e-03	depleted	0	12
GO:0031638	BP	zymogen activation	9.112e-04	7.535e-03	depleted	0	12
GO:0006954	BP	inflammatory response	1.593e-03	1.221e-02	depleted	1	16
GO:0048245	BP	eosinophil chemotaxis	1.670e-03	1.261e-02	depleted	0	11
GO:0031663	BP	lipopolysaccharide-mediated signaling pathway	3.071e-03	2.182e-02	depleted	0	10
GO:0044179	BP	hemolysis in another organism	3.071e-03	2.182e-02	depleted	0	10
GO:0042744	BP	hydrogen peroxide catabolic process	3.071e-03	2.182e-02	depleted	0	10
GO:0015671	BP	oxygen transport	3.071e-03	2.182e-02	depleted	0	10
GO:0032496	BP	response to lipopolysaccharide	5.672e-03	3.604e-02	depleted	0	9
GO:0044659	BP	viral release from host cell by cytolysis	5.672e-03	3.604e-02	depleted	0	9
GO:0044562	BP	venom-mediated inhibition of voltage-gated potassium channel activity	5.672e-03	3.604e-02	depleted	0	9
GO:0070488	BP	neutrophil aggregation	5.672e-03	3.604e-02	depleted	0	9
GO:0061760	BP	antifungal innate immune response	5.672e-03	3.604e-02	depleted	0	9
GO:0002523	BP	leukocyte migration involved in inflammatory response	5.672e-03	3.604e-02	depleted	0	9
GO:0005576	CC	extracellular region	1.090e-113	5.681e-111	depleted	296	1463
GO:0005615	CC	extracellular space	2.924e-30	2.688e-28	depleted	212	803
GO:0000786	CC	nucleosome	4.411e-07	9.018e-06	depleted	0	25
GO:0072562	CC	blood microparticle	2.809e-06	4.773e-05	depleted	0	22
GO:0070062	CC	extracellular exosome	9.849e-06	1.425e-04	depleted	0	20
GO:0019031	CC	viral envelope	4.764e-04	4.804e-03	depleted	0	14
GO:0005833	CC	hemoglobin complex	3.071e-03	2.182e-02	depleted	0	10
GO:0031838	CC	haptoglobin-hemoglobin complex	3.071e-03	2.182e-02	depleted	0	10
GO:0005769	CC	early endosome	5.672e-03	3.604e-02	depleted	0	9
GO:0003796	MF	lysozyme activity	2.660e-37	2.771e-35	depleted	0	141
GO:0001530	MF	lipopolysaccharide binding	1.826e-34	1.784e-32	depleted	0	130
GO:0031731	MF	CCR6 chemokine receptor binding	1.925e-24	1.368e-22	depleted	0	92
GO:0042056	MF	chemoattractant activity	1.706e-17	9.523e-16	depleted	0	66
GO:0008061	MF	chitin binding	4.619e-11	1.761e-09	depleted	3	57
GO:0008009	MF	chemokine activity	1.885e-09	6.012e-08	depleted	1	41
GO:0008289	MF	lipid binding	5.326e-09	1.632e-07	depleted	0	33
GO:0004540	MF	RNA nuclease activity	3.853e-08	9.558e-07	depleted	0	30
GO:0047498	MF	calcium-dependent phospholipase A2 activity	7.528e-08	1.756e-06	depleted	0	29
GO:0005543	MF	phospholipid binding	7.528e-08	1.756e-06	depleted	0	29
GO:0046982	MF	protein heterodimerization activity	4.411e-07	9.018e-06	depleted	0	25
GO:0030527	MF	structural constituent of chromatin	7.351e-07	1.454e-05	depleted	1	30
GO:0001716	MF	L-amino-acid oxidase activity	8.148e-07	1.572e-05	depleted	0	24
GO:0090729	MF	toxin activity	1.510e-06	2.744e-05	depleted	0	23
GO:0016491	MF	oxidoreductase activity	2.672e-05	3.396e-04	depleted	4	36
GO:0004623	MF	phospholipase A2 activity	4.528e-05	5.662e-04	depleted	4	35
GO:0003676	MF	nucleic acid binding	1.067e-04	1.273e-03	depleted	3	29
GO:0045735	MF	nutrient reservoir activity	4.764e-04	4.804e-03	depleted	0	14
GO:0019871	MF	sodium channel inhibitor activity	4.764e-04	4.804e-03	depleted	0	14
GO:0004601	MF	peroxidase activity	4.764e-04	4.804e-03	depleted	0	14
GO:0004252	MF	serine-type endopeptidase activity	7.641e-04	6.526e-03	depleted	2	22
GO:0048306	MF	calcium-dependent protein binding	9.112e-04	7.535e-03	depleted	0	12
GO:0048020	MF	CCR chemokine receptor binding	9.112e-04	7.535e-03	depleted	0	12
GO:0019825	MF	oxygen binding	9.236e-04	7.598e-03	depleted	0	13
GO:0004568	MF	chitinase activity	1.670e-03	1.261e-02	depleted	0	11
GO:0004860	MF	protein kinase inhibitor activity	1.670e-03	1.261e-02	depleted	0	11
GO:0004867	MF	serine-type endopeptidase inhibitor activity	2.176e-03	1.635e-02	depleted	2	19
GO:0020037	MF	heme binding	2.490e-03	1.862e-02	depleted	4	26
GO:0043177	MF	organic acid binding	3.071e-03	2.182e-02	depleted	0	10
GO:0008200	MF	ion channel inhibitor activity	3.071e-03	2.182e-02	depleted	0	10
GO:0031720	MF	haptoglobin binding	3.071e-03	2.182e-02	depleted	0	10
GO:0140911	MF	pore-forming activity	3.071e-03	2.182e-02	depleted	0	10
GO:0005344	MF	oxygen carrier activity	3.071e-03	2.182e-02	depleted	0	10
