rep	cluster_size	sources_rep	sources_members	members	has_DATABASE	has_PRED
PRED|NP_564778.1	11	PRED	PRED	PRED|NP_564778.1;PRED|NP_001318265.1;PRED|NP_564779.1;PRED|NP_001077995.1;PRED|NP_001077996.1;PRED|NP_001077585.1;PRED|NP_001077666.1;PRED|NP_192889.1;PRED|NP_001077586.1;PRED|NP_001077998.1;PRED|NP_001318355.1	False	True
PRED|XP_048586136.1	11	PRED	PRED	PRED|XP_048586136.1;PRED|XP_048586139.1;PRED|XP_048586140.1;PRED|XP_048586137.1;PRED|XP_048586138.1;PRED|XP_001638827.2;PRED|XP_032219592.2;PRED|XP_032219593.2;PRED|XP_032219594.2;PRED|XP_032219595.2;PRED|XP_021317438.1	False	True
PRED|XP_013455200.2	11	PRED	PRED	PRED|XP_013455200.2;PRED|XP_013455201.1;PRED|NP_001347263.1;PRED|NP_001238593.2;PRED|XP_002314633.3;PRED|NP_001268136.1;PRED|XP_002285051.1;PRED|NP_001268103.1;PRED|XP_013455209.1;PRED|XP_013455207.1;PRED|NP_001237370.1	False	True
PRED|XP_002440062.1	11	PRED	PRED	PRED|XP_002440062.1;PRED|XP_021302450.1;PRED|NP_001358923.1;PRED|NP_001358922.1;PRED|XP_011650157.1;PRED|NP_001292647.1;PRED|XP_020404738.1;PRED|NP_001148400.2;PRED|XP_015628778.1;PRED|XP_035816260.1;PRED|XP_002460971.1	False	True
PRED|XP_003529510.2	11	PRED	PRED	PRED|XP_003529510.2;PRED|XP_006605560.2;PRED|XP_003556709.1;PRED|XP_003556739.1;PRED|XP_003556745.1;PRED|XP_003556749.1;PRED|XP_006349845.1;PRED|XP_006349844.1;PRED|XP_008386863.3;PRED|NP_001235392.1;PRED|XP_003526858.1	False	True
PRED|NP_683556.2	11	PRED	PRED	PRED|NP_683556.2;PRED|NP_001078313.1;PRED|NP_974087.1;PRED|XP_024545104.1;PRED|XP_024545105.1;PRED|XP_024521092.1;PRED|XP_002972482.2;PRED|NP_849769.1;PRED|NP_001078137.1;PRED|NP_001077900.1;PRED|NP_001077899.1	False	True
PRED|XP_001629285.1	11	PRED	PRED	PRED|XP_001629285.1;PRED|XP_039687579.1;PRED|XP_031742452.1;PRED|XP_040871000.1;PRED|XP_003523425.1;PRED|XP_004149432.1;PRED|XP_070670845.1;PRED|XP_006371363.1;PRED|XP_013461302.1;PRED|NP_001235584.1;PRED|XP_046441263.1	False	True
PRED|XP_005105850.1	11	PRED	PRED	PRED|XP_005105850.1;PRED|XP_005097576.1;PRED|XP_005106445.1;PRED|XP_012941745.1;PRED|XP_012942435.1;PRED|XP_012942438.1;PRED|XP_012942442.1;PRED|XP_012942434.1;PRED|XP_012935980.1;PRED|XP_005106447.1;PRED|XP_012944359.1	False	True
PRED|XP_046788660.1	11	PRED	PRED	PRED|XP_046788660.1;PRED|XP_046788661.1;PRED|XP_038943304.1;PRED|XP_030098889.1;PRED|XP_030098891.1;PRED|NP_083125.1;PRED|NP_001102613.1;PRED|NP_689566.1;PRED|XP_011524730.1;PRED|XP_047294095.1;PRED|XP_047294096.1	False	True
PRED|XP_011444673.3	11	PRED	PRED	PRED|XP_011444673.3;PRED|XP_011422476.1;PRED|XP_009046458.1;PRED|XP_009044628.1;PRED|XP_012946218.2;PRED|XP_032237897.2;PRED|XP_048580694.1;PRED|XP_034339465.2;PRED|XP_003223512.1;PRED|XP_008113012.1;PRED|NP_055286.1	False	True
PRED|XP_028944169.1	11	PRED	PRED	PRED|XP_028944169.1;PRED|NP_001235986.2;PRED|XP_002454848.1;PRED|NP_001241180.1;PRED|XP_008360494.3;PRED|XP_006356760.1;PRED|XP_031737108.1;PRED|XP_002282822.1;PRED|XP_004141047.1;PRED|NP_179559.2;PRED|NP_001325352.1	False	True
PRED|XP_024520309.1	11	PRED	PRED	PRED|XP_024520309.1;PRED|XP_002986647.1;PRED|XP_002975449.1;PRED|XP_024544581.1;PRED|XP_024520092.1;PRED|XP_024539568.1;PRED|XP_024545585.1;PRED|XP_024367321.1;PRED|XP_024377333.1;PRED|XP_002991945.1;PRED|XP_002979977.1	False	True
PRED|XP_040546243.1	11	PRED	PRED	PRED|XP_040546243.1;PRED|XP_040546244.1;PRED|XP_040546245.1;PRED|XP_040546248.1;PRED|XP_040546254.1;PRED|XP_036010992.1;PRED|NP_001381094.1;PRED|XP_063122453.1;PRED|XP_063122454.1;PRED|XP_006510539.1;PRED|NP_001185900.1	False	True
PRED|XP_042199463.1	11	PRED	PRED	PRED|XP_042199463.1;PRED|XP_002937572.1;PRED|NP_001106395.1;PRED|XP_005996657.1;PRED|XP_031755497.1;PRED|XP_031755498.1;PRED|XP_007900593.1;PRED|XP_040040873.1;PRED|NP_001027742.1;PRED|NP_001104729.1;PRED|XP_040049153.1	False	True
PRED|XP_008364429.1	11	PRED	PRED	PRED|XP_008364429.1;PRED|NP_201388.1;PRED|XP_002320667.1;PRED|XP_039688498.1;PRED|XP_006363805.1;PRED|XP_003536571.1;PRED|XP_002310329.1;PRED|NP_001408890.1;PRED|XP_003539251.1;PRED|XP_003611544.1;PRED|NP_566926.1	False	True
PRED|XP_009062202.1	11	PRED	PRED	PRED|XP_009062202.1;PRED|XP_063123728.1;PRED|NP_001182417.1;PRED|NP_001008216.1;PRED|NP_001039098.1;PRED|NP_932123.3;PRED|XP_003961788.1;PRED|NP_001154969.1;PRED|NP_001289114.1;PRED|XP_003218836.1;PRED|XP_042190264.1	False	True
PRED|XP_073389319.1	11	PRED	PRED	PRED|XP_073389319.1;PRED|XP_073389320.1;PRED|XP_073389321.1;PRED|XP_073389322.1;PRED|XP_073389323.1;PRED|XP_073389324.1;PRED|XP_073389325.1;PRED|XP_073389326.1;PRED|XP_073389327.1;PRED|XP_073389328.1;PRED|XP_073389333.1	False	True
PRED|XP_025882674.1	10	PRED	PRED	PRED|XP_025882674.1;PRED|XP_025882676.1;PRED|XP_066168261.1;PRED|XP_015644721.1;PRED|XP_066168255.1;PRED|XP_066168256.1;PRED|XP_066168257.1;PRED|XP_066168258.1;PRED|XP_066168259.1;PRED|XP_066168260.1	False	True
PRED|XP_075930355.1	10	PRED	PRED	PRED|XP_075930355.1;PRED|XP_075930356.1;PRED|NP_731174.1;PRED|NP_649734.2;PRED|NP_731175.2;PRED|XP_312744.5;PRED|XP_003224978.1;PRED|XP_003224979.1;PRED|XP_002128766.1;PRED|XP_002129039.1	False	True
PRED|XP_015640514.1	10	PRED	PRED	PRED|XP_015640514.1;PRED|XP_011651551.1;PRED|XP_003553943.1;PRED|XP_002440082.1;PRED|XP_024635725.1;PRED|XP_006359343.1;PRED|XP_006359344.1;PRED|NP_001338701.1;PRED|XP_015631399.1;PRED|XP_024394066.1	False	True
PRED|XP_046440802.1	10	PRED	PRED	PRED|XP_046440802.1;PRED|XP_046440214.1;PRED|XP_046440804.1;PRED|XP_046457945.1;PRED|XP_046439375.1;PRED|XP_046439376.1;PRED|XP_046439377.1;PRED|XP_046439379.1;PRED|XP_046439384.1;PRED|XP_046439380.1	False	True
PRED|XP_073396252.1	10	PRED	PRED	PRED|XP_073396252.1;PRED|XP_073396253.1;PRED|XP_073396254.1;PRED|XP_073396255.1;PRED|XP_073396256.1;PRED|XP_073396257.1;PRED|XP_073396258.1;PRED|XP_073396249.1;PRED|XP_073396250.1;PRED|XP_073396251.1	False	True
PRED|NP_001313367.1	10	PRED	PRED	PRED|NP_001313367.1;PRED|NP_001313366.1;PRED|XP_029705512.1;PRED|XP_040016813.1;PRED|XP_032815123.1;PRED|NP_001233248.1;PRED|XP_063130685.1;PRED|XP_001061496.1;PRED|XP_004914661.1;PRED|XP_007897455.1	False	True
PRED|XP_030843537.1	10	PRED	PRED	PRED|XP_030843537.1;PRED|XP_011664664.2;PRED|XP_030830668.1;PRED|XP_030843555.1;PRED|XP_030834202.1;PRED|NP_001073026.1;PRED|XP_030830669.1;PRED|XP_030829521.1;PRED|XP_030843545.1;PRED|XP_030843564.1	False	True
PRED|NP_524386.1	10	PRED	PRED	PRED|NP_524386.1;PRED|NP_001262668.1;PRED|XP_006557391.2;PRED|XP_064212533.1;PRED|XP_026295903.1;PRED|XP_015838085.1;PRED|XP_001230805.2;PRED|XP_012553269.1;PRED|XP_037867323.1;PRED|NP_001037307.1	False	True
PRED|XP_319239.2	10	PRED	PRED	PRED|XP_319239.2;PRED|XP_061517845.1;PRED|NP_001163659.1;PRED|NP_652224.1;PRED|NP_001287419.1;PRED|XP_973609.1;PRED|XP_016769679.1;PRED|XP_016769680.1;PRED|XP_319242.3;PRED|NP_652488.1	False	True
PRED|XP_075924835.1	10	PRED	PRED	PRED|XP_075924835.1;PRED|XP_040057707.1;PRED|NP_001292074.1;PRED|XP_011610425.1;PRED|XP_011610430.1;PRED|XP_040057708.1;PRED|XP_073767534.1;PRED|XP_011454177.1;PRED|XP_009051447.1;PRED|NP_001162959.1	False	True
PRED|XP_031744357.1	10	PRED	PRED	PRED|XP_031744357.1;PRED|NP_001326884.1;PRED|XP_013463022.2;PRED|XP_013463024.2;PRED|XP_024464217.2;PRED|NP_200861.1;PRED|XP_024464304.2;PRED|XP_002457008.1;PRED|XP_025881148.2;PRED|XP_017187832.3	False	True
PRED|NP_001403289.1	10	PRED	PRED	PRED|NP_001403289.1;PRED|NP_001403291.1;PRED|NP_001403315.1;PRED|NP_001403286.1;PRED|NP_001403306.1;PRED|NP_001402641.1;PRED|NP_001403288.1;PRED|NP_001403312.1;PRED|NP_001403313.1;PRED|NP_001403314.1	False	True
PRED|XP_006362817.1	10	PRED	PRED	PRED|XP_006362817.1;PRED|XP_052309155.1;PRED|XP_052309156.1;PRED|XP_007019457.2;PRED|NP_001351068.1;PRED|XP_013451798.2;PRED|XP_006362818.1;PRED|XP_006362819.1;PRED|XP_006362835.1;PRED|XP_014754398.1	False	True
PRED|XP_006506184.1	10	PRED	PRED	PRED|XP_006506184.1;PRED|XP_006506186.1;PRED|XP_006506191.1;PRED|XP_036022014.1;PRED|XP_017177078.1;PRED|NP_705818.3;PRED|NP_001368915.1;PRED|NP_001368916.1;PRED|NP_001368917.1;PRED|NP_001337992.1	False	True
PRED|XP_003574313.1	10	PRED	PRED	PRED|XP_003574313.1;PRED|NP_001105602.2;PRED|NP_001150721.2;PRED|XP_008659961.1;PRED|XP_008659964.1;PRED|XP_002464968.1;PRED|XP_046443416.1;PRED|XP_046443417.1;PRED|XP_004138721.1;PRED|XP_010657904.2	False	True
PRED|XP_021204413.1	10	PRED	PRED	PRED|XP_021204413.1;PRED|XP_062528013.1;PRED|XP_021204414.1;PRED|XP_012546785.1;PRED|XP_004927297.1;PRED|XP_004927298.1;PRED|XP_012544311.1;PRED|XP_004924412.2;PRED|XP_037876222.1;PRED|XP_006566251.1	False	True
PRED|XP_009053720.1	10	PRED	PRED	PRED|XP_009053720.1;PRED|XP_009056600.1;PRED|XP_009047761.1;PRED|XP_009064798.1;PRED|XP_009054893.1;PRED|XP_009057204.1;PRED|XP_009052248.1;PRED|XP_009052255.1;PRED|XP_009049155.1;PRED|XP_009051240.1	False	True
PRED|XP_062831263.1	10	PRED	PRED	PRED|XP_062831263.1;PRED|NP_001264663.1;PRED|NP_080251.3;PRED|XP_040033301.1;PRED|NP_001093289.1;PRED|NP_001013246.1;PRED|NP_006511.1;PRED|XP_003218965.1;PRED|XP_003961771.1;PRED|XP_823253.1	False	True
PRED|XP_015623532.1	10	PRED	PRED	PRED|XP_015623532.1;PRED|XP_066165929.1;PRED|XP_011659762.1;PRED|XP_003521333.1;PRED|XP_007049870.1;PRED|XP_011659167.2;PRED|XP_002454557.1;PRED|NP_001168015.1;PRED|XP_010235780.1;PRED|XP_017981665.1	False	True
PRED|XP_011418158.3	10	PRED	PRED	PRED|XP_011418158.3;PRED|XP_030839558.1;PRED|XP_034308603.2;PRED|NP_001153834.1;PRED|NP_001153837.1;PRED|NP_001153845.2;PRED|XP_073793838.1;PRED|NP_001103581.2;PRED|XP_011451344.3;PRED|XP_001688388.2	False	True
PRED|NP_835466.2	10	PRED	PRED	PRED|NP_835466.2;PRED|NP_001288701.1;PRED|XP_064410339.1;PRED|XP_075921077.1;PRED|XP_062836014.1;PRED|NP_001165577.1;PRED|XP_038935809.1;PRED|XP_040521136.1;PRED|XP_006007251.1;PRED|XP_031760350.1	False	True
PRED|NP_505700.2	10	PRED	PRED	PRED|NP_505700.2;PRED|NP_989791.2;PRED|NP_034682.1;PRED|NP_001100367.1;PRED|XP_011512578.1;PRED|NP_665855.2;PRED|XP_006495586.1;PRED|NP_443104.1;PRED|NP_001015011.2;PRED|NP_002181.1	False	True
PRED|XP_024640841.1	10	PRED	PRED	PRED|XP_024640841.1;PRED|XP_003615594.2;PRED|XP_013454270.1;PRED|XP_013454268.1;PRED|XP_024639382.1;PRED|XP_024639707.1;PRED|XP_024639379.1;PRED|XP_024639380.1;PRED|XP_013454269.1;PRED|XP_003616778.2	False	True
PRED|XP_001026556.2	10	PRED	PRED	PRED|XP_001026556.2;PRED|XP_001008130.3;PRED|XP_001008129.1;PRED|XP_001008131.1;PRED|XP_001008132.1;PRED|XP_001008128.1;PRED|XP_012656148.1;PRED|XP_001016887.1;PRED|XP_001016890.1;PRED|XP_001011568.1	False	True
PRED|XP_002976972.2	10	PRED	PRED	PRED|XP_002976972.2;PRED|XP_024392953.1;PRED|XP_073393747.1;PRED|XP_002980712.2;PRED|XP_006011682.1;PRED|XP_003963788.1;PRED|NP_001289735.1;PRED|XP_040034401.1;PRED|XP_007888920.1;PRED|XP_001350123.1	False	True
PRED|XP_637609.1	10	PRED	PRED	PRED|XP_637609.1;PRED|XP_640252.1;PRED|XP_640253.1;PRED|XP_640254.1;PRED|XP_640255.1;PRED|XP_640256.1;PRED|XP_642734.1;PRED|XP_647430.1;PRED|XP_647431.2;PRED|XP_647432.1	False	True
PRED|XP_007908006.1	10	PRED	PRED	PRED|XP_007908006.1;PRED|XP_005986921.1;PRED|XP_042200993.1;PRED|XP_040047838.1;PRED|XP_040047839.1;PRED|XP_040047840.1;PRED|XP_040047841.1;PRED|XP_003221125.1;PRED|XP_062838934.1;PRED|NP_990375.1	False	True
PRED|NP_491509.1	10	PRED	PRED	PRED|NP_491509.1;PRED|NP_001022158.1;PRED|NP_503246.1;PRED|NP_001300053.1;PRED|NP_001022156.2;PRED|NP_001022157.3;PRED|NP_506116.1;PRED|NP_001379668.1;PRED|NP_001300054.1;PRED|NP_496658.1	False	True
PRED|XP_005247472.1	10	PRED	PRED	PRED|XP_005247472.1;PRED|NP_000403.1;PRED|NP_596919.1;PRED|NP_001316829.1;PRED|XP_012814309.2;PRED|NP_001004786.1;PRED|XP_031753344.1;PRED|XP_031753352.1;PRED|XP_031753355.1;PRED|XP_012811260.1	False	True
PRED|XP_001027599.2	10	PRED	PRED	PRED|XP_001027599.2;PRED|XP_001020454.1;PRED|XP_001013904.1;PRED|XP_001027598.1;PRED|XP_001011401.1;PRED|XP_001031451.1;PRED|XP_001019492.1;PRED|XP_001031458.1;PRED|XP_001018885.1;PRED|XP_012652492.1	False	True
PRED|XP_629398.1	10	PRED	PRED	PRED|XP_629398.1;PRED|XP_629200.1;PRED|XP_629209.1;PRED|XP_644447.1;PRED|XP_644803.1;PRED|XP_640059.1;PRED|XP_644490.1;PRED|XP_644760.1;PRED|XP_644541.1;PRED|XP_644709.1	False	True
PRED|XP_030107658.1	10	PRED	PRED	PRED|XP_030107658.1;PRED|XP_030107659.1;PRED|NP_033293.2;PRED|XP_036015186.1;PRED|XP_063120447.1;PRED|XP_038936557.1;PRED|XP_038936559.2;PRED|NP_062044.2;PRED|XP_063120448.1;PRED|XP_063120449.1	False	True
PRED|NP_001024008.1	10	PRED	PRED	PRED|NP_001024008.1;PRED|NP_001024009.1;PRED|NP_001024010.1;PRED|NP_001024255.1;PRED|NP_506664.1;PRED|NP_506666.1;PRED|NP_506669.1;PRED|NP_509965.1;PRED|NP_001366846.1;PRED|NP_001024007.1	False	True
PRED|XP_020401046.1	10	PRED	PRED	PRED|XP_020401046.1;PRED|XP_008389865.1;PRED|NP_568623.1;PRED|XP_007044016.2;PRED|XP_003538547.1;PRED|NP_001237427.1;PRED|XP_024539870.1;PRED|XP_073396685.1;PRED|XP_004142934.1;PRED|XP_024359071.1	False	True
PRED|XP_046444802.1	10	PRED	PRED	PRED|XP_046444802.1;PRED|XP_046447835.1;PRED|XP_046444803.1;PRED|XP_046444813.1;PRED|XP_046447836.1;PRED|XP_046448934.1;PRED|XP_046448935.1;PRED|XP_046447701.1;PRED|XP_046448936.1;PRED|XP_046447775.1	False	True
PRED|XP_048590367.1	10	PRED	PRED	PRED|XP_048590367.1;PRED|XP_032226491.2;PRED|XP_048590368.1;PRED|XP_032226492.2;PRED|XP_048590394.1;PRED|XP_048590395.1;PRED|XP_048590410.1;PRED|XP_048590411.1;PRED|XP_032226494.1;PRED|XP_048585915.1	False	True
PRED|XP_006347539.1	10	PRED	PRED	PRED|XP_006347539.1;PRED|XP_006347541.1;PRED|XP_002268370.1;PRED|XP_021302625.1;PRED|XP_015164332.1;PRED|XP_002466963.1;PRED|NP_001347611.1;PRED|NP_001333820.1;PRED|NP_001143172.1;PRED|NP_001131839.1	False	True
PRED|XP_011412302.3	10	PRED	PRED	PRED|XP_011412302.3;PRED|XP_009060129.1;PRED|XP_014781272.1;PRED|XP_005097298.1;PRED|XP_008196975.2;PRED|XP_314739.5;PRED|XP_001122840.1;PRED|NP_609556.2;PRED|XP_005092504.1;PRED|XP_009059289.1	False	True
PRED|XP_075915381.1	10	PRED	PRED	PRED|XP_075915381.1;PRED|XP_075911963.1;PRED|XP_075920131.1;PRED|XP_075918879.1;PRED|XP_009053445.1;PRED|XP_009057698.1;PRED|XP_973635.1;PRED|NP_652466.2;PRED|NP_001386411.1;PRED|XP_024302849.1	False	True
PRED|XP_002440470.1	9	PRED	PRED	PRED|XP_002440470.1;PRED|XP_024462175.1;PRED|XP_006592209.1;PRED|XP_003568999.1;PRED|XP_006351125.1;PRED|NP_001341131.1;PRED|XP_024631782.1;PRED|XP_024465505.1;PRED|XP_006590995.1	False	True
PRED|NP_648870.1	9	PRED	PRED	PRED|NP_648870.1;PRED|XP_015834810.1;PRED|NP_001166760.1;PRED|XP_062526795.1;PRED|NP_652710.1;PRED|XP_314230.3;PRED|NP_001403295.1;PRED|NP_001403377.1;PRED|NP_001403405.1	False	True
PRED|XP_032236445.2	9	PRED	PRED	PRED|XP_032236445.2;PRED|XP_048581775.1;PRED|XP_048581776.1;PRED|XP_032236446.2;PRED|XP_001631695.3;PRED|NP_496932.1;PRED|NP_001022431.2;PRED|NP_496933.1;PRED|NP_496934.1	False	True
PRED|NP_652259.2	9	PRED	PRED	PRED|NP_652259.2;PRED|XP_308779.3;PRED|NP_524982.1;PRED|NP_001260248.1;PRED|NP_001260249.1;PRED|NP_524983.1;PRED|XP_560228.4;PRED|NP_001097830.1;PRED|NP_001303509.1	False	True
PRED|XP_011434624.1	9	PRED	PRED	PRED|XP_011434624.1;PRED|NP_001078831.1;PRED|XP_009058906.1;PRED|XP_014771402.1;PRED|XP_006498973.1;PRED|XP_040527589.1;PRED|XP_062838642.1;PRED|XP_002936405.1;PRED|NP_001033548.1	False	True
PRED|XP_064417623.1	9	PRED	PRED	PRED|XP_064417623.1;PRED|XP_068076835.1;PRED|XP_040031152.1;PRED|NP_001339617.1;PRED|NP_001339816.1;PRED|XP_047275585.1;PRED|NP_001339616.1;PRED|XP_042191355.1;PRED|XP_038956436.1	False	True
PRED|XP_015635687.1	9	PRED	PRED	PRED|XP_015635687.1;PRED|XP_015159145.1;PRED|NP_001326878.1;PRED|XP_024638902.1;PRED|NP_191765.2;PRED|XP_002318919.4;PRED|XP_015635389.1;PRED|XP_003567618.1;PRED|XP_014755008.1	False	True
PRED|XP_011620204.2	9	PRED	PRED	PRED|XP_011620204.2;PRED|XP_073787450.1;PRED|XP_009297184.1;PRED|NP_001165779.1;PRED|XP_009297187.1;PRED|XP_040026883.1;PRED|XP_073941007.1;PRED|XP_073806216.1;PRED|NP_001313481.1	False	True
PRED|NP_001371158.1	9	PRED	PRED	PRED|NP_001371158.1;PRED|NP_001371170.1;PRED|XP_030104742.1;PRED|XP_038935704.1;PRED|NP_001107264.1;PRED|XP_038935706.1;PRED|XP_038935708.1;PRED|NP_001358037.1;PRED|NP_001403367.1	False	True
PRED|XP_052309502.1	9	PRED	PRED	PRED|XP_052309502.1;PRED|XP_024445760.1;PRED|XP_052309503.1;PRED|XP_052309504.1;PRED|XP_013458542.1;PRED|NP_196147.1;PRED|NP_179457.1;PRED|XP_007036181.1;PRED|XP_006342077.1	False	True
PRED|WP_074147554.1	9	PRED	PRED	PRED|WP_074147554.1;PRED|WP_000170926.1;PRED|WP_000170954.1;PRED|WP_000170961.1;PRED|WP_000141634.1;PRED|WP_001295224.1;PRED|WP_001537650.1;PRED|WP_001295224.1;PRED|WP_000176312.1	False	True
PRED|XP_019075840.1	9	PRED	PRED	PRED|XP_019075840.1;PRED|NP_001267986.1;PRED|XP_019075841.1;PRED|XP_003569917.1;PRED|NP_001407346.1;PRED|NP_001415069.1;PRED|NP_001415070.1;PRED|XP_013454938.1;PRED|XP_008370021.1	False	True
PRED|XP_042914730.1	9	PRED	PRED	PRED|XP_042914730.1;PRED|XP_042922603.1;PRED|XP_017977702.1;PRED|NP_191322.3;PRED|NP_974452.1;PRED|NP_001327768.1;PRED|XP_017977703.1;PRED|XP_007028839.2;PRED|XP_007028840.2	False	True
PRED|XP_032220905.2	9	PRED	PRED	PRED|XP_032220905.2;PRED|XP_048580964.1;PRED|XP_031749285.1;PRED|XP_031749240.1;PRED|XP_031749585.1;PRED|XP_031749586.1;PRED|XP_031749587.1;PRED|XP_031749588.1;PRED|XP_031749584.1	False	True
PRED|XP_001349608.1	9	PRED	PRED	PRED|XP_001349608.1;PRED|NP_001037674.1;PRED|XP_005538784.1;PRED|XP_038959289.1;PRED|NP_001285450.1;PRED|NP_001285451.1;PRED|NP_608337.1;PRED|XP_006513019.1;PRED|XP_038949670.2	False	True
PRED|XP_042197731.1	9	PRED	PRED	PRED|XP_042197731.1;PRED|NP_571568.1;PRED|XP_040060639.1;PRED|XP_040060640.1;PRED|XP_040060641.1;PRED|XP_009061019.1;PRED|XP_016769970.1;PRED|XP_061505592.1;PRED|NP_647972.1	False	True
PRED|NP_001255332.1	9	PRED	PRED	PRED|NP_001255332.1;PRED|NP_001255334.1;PRED|NP_001255335.1;PRED|NP_001294053.1;PRED|NP_001255336.1;PRED|NP_001255337.1;PRED|NP_001360508.1;PRED|NP_001255333.1;PRED|NP_001360509.1	False	True
PRED|XP_031738892.1	9	PRED	PRED	PRED|XP_031738892.1;PRED|XP_031738893.1;PRED|XP_031738894.1;PRED|XP_031738895.1;PRED|XP_011652713.1;PRED|XP_065937803.1;PRED|XP_065937804.1;PRED|XP_034305341.2;PRED|XP_015169608.1	False	True
PRED|XP_014786674.1	9	PRED	PRED	PRED|XP_014786674.1;PRED|XP_030856142.1;PRED|XP_971638.1;PRED|XP_030856094.1;PRED|NP_477445.1;PRED|XP_048579971.1;PRED|XP_048579977.1;PRED|XP_002127331.1;PRED|XP_002935290.1	False	True
PRED|XP_008674672.1	9	PRED	PRED	PRED|XP_008674672.1;PRED|XP_010232731.1;PRED|NP_001143220.1;PRED|XP_024315966.1;PRED|XP_002456827.1;PRED|XP_003622774.1;PRED|XP_010650431.1;PRED|XP_002965901.2;PRED|XP_024543838.1	False	True
PRED|XP_009065025.1	9	PRED	PRED	PRED|XP_009065025.1;PRED|XP_009061714.1;PRED|XP_009061741.1;PRED|XP_009061746.1;PRED|XP_003251214.1;PRED|XP_009049492.1;PRED|XP_034321105.2;PRED|XP_034321106.2;PRED|XP_065922235.1	False	True
PRED|XP_001033516.1	9	PRED	PRED	PRED|XP_001033516.1;PRED|XP_001014338.1;PRED|XP_001014345.1;PRED|XP_001014346.1;PRED|XP_001014348.1;PRED|XP_001014353.3;PRED|XP_001014355.1;PRED|XP_001014336.1;PRED|XP_001014351.1	False	True
PRED|XP_029696927.1	9	PRED	PRED	PRED|XP_029696927.1;PRED|XP_040040948.1;PRED|XP_005109483.1;PRED|XP_042202400.1;PRED|XP_007893907.1;PRED|XP_064413407.1;PRED|XP_011244487.1;PRED|NP_001344819.1;PRED|XP_002183494.1	False	True
PRED|WP_002210732.1	9	PRED	PRED	PRED|WP_002210732.1;PRED|WP_000270285.1;PRED|WP_000270282.1;PRED|WP_002895051.1;PRED|WP_000270278.1;PRED|WP_000270282.1;PRED|WP_071908327.1;PRED|WP_005410354.1;PRED|WP_000270276.1	False	True
PRED|XP_040029793.1	9	PRED	PRED	PRED|XP_040029793.1;PRED|XP_003968367.1;PRED|NP_001373151.1;PRED|XP_005992512.1;PRED|NP_001090807.1;PRED|XP_002944417.2;PRED|NP_990667.1;PRED|XP_007910586.1;PRED|XP_007895974.1	False	True
PRED|WP_005410424.1	9	PRED	PRED	PRED|WP_005410424.1;PRED|WP_003096961.1;PRED|WP_005407633.1;PRED|WP_000490276.1;PRED|WP_002887716.1;PRED|WP_000490275.1;PRED|WP_000490275.1;PRED|WP_002209211.1;PRED|WP_000490267.1	False	True
PRED|YP_010963487.1	9	PRED	PRED	PRED|YP_010963487.1;PRED|NP_203164.1;PRED|NP_008630.1;PRED|YP_203378.1;PRED|YP_009568258.1;PRED|YP_003734932.1;PRED|NP_059339.1;PRED|NP_694923.1;PRED|NP_904336.1	False	True
PRED|NP_082054.2	9	PRED	PRED	PRED|NP_082054.2;PRED|XP_063123879.1;PRED|XP_063123880.1;PRED|XP_063123983.1;PRED|XP_063123881.1;PRED|XP_063124233.1;PRED|NP_524254.1;PRED|NP_001097701.1;PRED|NP_724084.1	False	True
PRED|NP_504251.1	9	PRED	PRED	PRED|NP_504251.1;PRED|NP_490835.1;PRED|NP_001379342.1;PRED|NP_001248972.1;PRED|NP_504320.1;PRED|NP_504319.1;PRED|NP_491311.1;PRED|NP_001379702.1;PRED|NP_491309.1	False	True
PRED|XP_046789093.1	9	PRED	PRED	PRED|XP_046789093.1;PRED|XP_047277145.1;PRED|XP_047277146.1;PRED|XP_063128750.1;PRED|XP_063128751.1;PRED|NP_001384355.1;PRED|XP_046789092.1;PRED|XP_046789094.1;PRED|XP_047277144.1	False	True
PRED|XP_006343569.1	9	PRED	PRED	PRED|XP_006343569.1;PRED|XP_013458561.1;PRED|XP_006350061.1;PRED|XP_024445625.1;PRED|XP_006372107.2;PRED|NP_001336683.1;PRED|NP_194774.1;PRED|XP_002285651.1;PRED|XP_004146662.1	False	True
PRED|XP_065938719.1	9	PRED	PRED	PRED|XP_065938719.1;PRED|XP_065938720.1;PRED|XP_065938721.1;PRED|XP_034305411.2;PRED|XP_065941092.1;PRED|XP_040047304.1;PRED|XP_009065907.1;PRED|XP_011445797.3;PRED|XP_009063372.1	False	True
PRED|XP_644029.1	9	PRED	PRED	PRED|XP_644029.1;PRED|XP_011395234.1;PRED|XP_024546654.1;PRED|XP_024546655.1;PRED|XP_011395232.1;PRED|XP_011395235.1;PRED|XP_024546656.1;PRED|XP_024546653.1;PRED|XP_019330841.1	False	True
PRED|NP_174116.1	9	PRED	PRED	PRED|NP_174116.1;PRED|XP_024462383.1;PRED|XP_002303794.3;PRED|XP_003601770.1;PRED|XP_003524896.2;PRED|XP_002961122.1;PRED|XP_002962068.1;PRED|XP_024527529.1;PRED|XP_002972673.1	False	True
PRED|XP_075912536.1	9	PRED	PRED	PRED|XP_075912536.1;PRED|XP_075913283.1;PRED|XP_075912539.1;PRED|XP_075912540.1;PRED|XP_075912541.1;PRED|XP_075913470.1;PRED|XP_075913472.1;PRED|XP_075913474.1;PRED|XP_032837216.2	False	True
