cluster_id	cluster_size	sources	members	has_DATABASE	has_PRED
cluster_1007	1	PRED	PRED|WP_002234540.1_surface-adhesin_E_family_protein_[Neisseria_meningitidis]|0.82|0.8||Surface-adhesin_protein_E-like	False	True
cluster_1008	1	PRED	PRED|XP_011418950.2_uncharacterized_protein_[Magallana_gigas]|0.53|0.72||Calcium-dependent_Lectin	False	True
cluster_1009	1	PRED	PRED|WP_010723106.1_MULTISPECIES:_stress_response_protein_AzuC_[Bacteria]|0.88|0.84||Stress_response_protein_AzuC	False	True
cluster_101	1	PRED	PRED|WP_002916578.1_MULTISPECIES:_acid_stress_response_protein_YqgB_[Gammaproteobacteria]|0.91|0.87||Uncharacterised_protein_family_YqgB	False	True
cluster_1010	1	PRED	PRED|XP_005102276.1_uncharacterized_protein_LOC101847669_[Aplysia_californica]|0.75|0.73||Deltamethrin_resistance_protein_prag01	False	True
cluster_1011	1	PRED	PRED|XP_024446769.2_metallothionein-like_protein_type_3_[Populus_trichocarpa]|0.58|0.79||Metallothionein-like_protein_3	False	True
cluster_1012	2	PRED	PRED|XP_075925455.1_uncharacterized_protein_LOC142928883_isoform_X2_[Petromyzon_marinus]|0.67|0.74||Protein_of_unknown_function_DUF5522;PRED|XP_075925472.1_uncharacterized_protein_LOC116938963_isoform_X2_[Petromyzon_marinus]|0.67|0.74||Protein_of_unknown_function_DUF5522	False	True
cluster_1013	1	PRED	PRED|WP_001097607.1_MULTISPECIES:_phage_shock_protein_PspD_[Salmonella]|0.9|0.7||Phage_shock_protein,_PspD	False	True
cluster_1014	1	PRED	PRED|WP_418142141.1_MULTISPECIES:_hypothetical_protein_[Bacteria]|0.75|0.81||YsdD	False	True
cluster_1015	1	PRED	PRED|XP_008201322.1_FUN14_domain-containing_protein_1B_[Tribolium_castaneum]|0.54|0.77||FUN14	False	True
cluster_1016	1	PRED	PRED|XP_029701877.1_selenoprotein_S-like_[Takifugu_rubripes]|0.57|0.81||Selenoprotein_S	False	True
cluster_1017	1	PRED	PRED|WP_000901531.1_MULTISPECIES:_protein_MgtS_[Salmonella]|0.92|0.83||Small_protein_MgtS	False	True
cluster_1018	1	PRED	PRED|WP_000482652.1_MULTISPECIES:_type_I_toxin-antitoxin_system_Fst_family_toxin_[Staphylococcus]|0.85|0.88||type_I_toxin-antitoxin_system_Fst_family_toxin	False	True
cluster_1019	1	PRED	PRED|XP_002185277.1_predicted_protein_partial_[Phaeodactylum_tricornutum_CCAP_1055/1]|0.5|0.74||Chloroplast_Fatty_Acid_Desaturase_CarF	False	True
cluster_102	3	PRED	PRED|XP_009046236.1_hypothetical_protein_LOTGIDRAFT_68777_partial_[Lottia_gigantea]|0.83|0.81||Unknown;PRED|XP_009051266.1_hypothetical_protein_LOTGIDRAFT_88987_partial_[Lottia_gigantea]|0.79|0.77||G_protein-coupled_receptor,_rhodopsin-like;PRED|XP_009056157.1_hypothetical_protein_LOTGIDRAFT_58438_partial_[Lottia_gigantea]|0.89|0.7||G-protein_coupled_receptor_LN-TM7	False	True
cluster_1020	1	PRED	PRED|XP_009064769.1_hypothetical_protein_LOTGIDRAFT_131972_[Lottia_gigantea]|0.73|0.88||ELONGATION_FACTOR_1_BETA_CENTRAL_ACIDIC_REGION_EUKARYOTE_DOMAIN-CONTAINING_PROTEIN	False	True
cluster_1021	1	PRED	PRED|WP_071836884.1_MULTISPECIES:_DUF4060_family_protein_[Klebsiella]|0.91|0.85||Protein_of_unknown_function_DUF4060	False	True
cluster_1022	2	PRED	PRED|WP_004150462.1_MULTISPECIES:_30S_ribosomal_protein_THX_[Bacteria]|0.67|0.9||Small_ribosomal_subunit_protein_bTHX/bTHXc/bTHXm;PRED|XP_042921156.1_uncharacterized_protein_CHLRE_09g391208v5_[Chlamydomonas_reinhardtii]|0.52|0.77||Small_ribosomal_subunit_protein_bTHX|Small_ribosomal_subunit_protein_bTHX/bTHXc/bTHXm	False	True
cluster_1023	1	PRED	PRED|XP_011429461.3_uncharacterized_protein_[Magallana_gigas]|0.53|0.71||Cellulose/chitin-binding_protein,_N-terminal	False	True
cluster_1024	1	DATABASE	DATABASE|CAMPSQ10542_PepR||Capsid_protein_C,_flavivirus|Flavivirus_capsid_protein_C_superfamily	True	False
cluster_1025	1	PRED	PRED|WP_121980491.1_MULTISPECIES:_rpoE_leader_peptide_RseD_[Enterobacteriaceae]|0.99|0.8||RpoE_leader_peptide	False	True
cluster_1026	2	DATABASE;PRED	DATABASE|AP05493||Honey_bee_toxin;PRED|NP_001011612.1_apamin_preproprotein_[Apis_mellifera]|0.97|0.91||Honey_bee_toxin	True	True
cluster_1027	1	PRED	PRED|XP_009053812.1_hypothetical_protein_LOTGIDRAFT_117276_[Lottia_gigantea]|0.6|0.73||Sodium_channel_modifier_1|Sodium_channel_modifier_1,_zinc-finger	False	True
cluster_1028	1	PRED	PRED|XP_006360414.1_cytokinesis_protein_sepA-like_[Solanum_tuberosum]|0.8|0.75||LEUCINE-RICH_REPEAT_EXTENSIN-LIKE_PROTEIN_2	False	True
cluster_1029	1	PRED	PRED|XP_008679638.1_uncharacterized_protein_[Zea_mays]|0.75|0.85||Unknown	False	True
cluster_103	2	DATABASE	DATABASE|AP00168||Formaecin;DATABASE|AP00169||Formaecin	True	False
cluster_1030	1	PRED	PRED|XP_070666834.1_large_ribosomal_subunit_protein_P1-like_[Malus_domestica]|0.56|0.74||60S_ACIDIC_RIBOSOMAL_PROTEIN_P1|60S_acidic_ribosomal_protein_P2|60s_Acidic_ribosomal_protein|Ribosomal_P1	False	True
cluster_1031	1	PRED	PRED|WP_371260264.1_MULTISPECIES:_plasmid_mobilization_protein_[Pseudomonadota]|0.94|0.79||Mobilization_protein_NikA-like	False	True
cluster_1032	1	PRED	PRED|NP_001033589.1_exocrine_gland-secreted_peptide_1_precursor_[Mus_musculus]|0.88|0.79||Exocrine_gland-secreted_peptide_Esp1/Esp22	False	True
cluster_1033	1	PRED	PRED|WP_002218002.1_MULTISPECIES:_helix-turn-helix_domain-containing_protein_[Neisseria]|0.7|0.81||Bacterial_HTH-type_regulators_and_antitoxins	False	True
cluster_1034	2	PRED	PRED|XP_003726400.1_ribonuclease_P_protein_subunit_p21-like_[Strongylocentrotus_purpuratus]|0.6|0.83||Ribonuclease_P_subunit_RNP4|Ribonuclease_P_subunit,_Rpr2/Snm1/Rpp21;PRED|XP_030851370.1_ribonuclease_P_protein_subunit_p21-like_[Strongylocentrotus_purpuratus]|0.53|0.83||Ribonuclease_P_subunit_RNP4|Ribonuclease_P_subunit,_Rpr2/Snm1/Rpp21	False	True
cluster_1035	1	PRED	PRED|WP_015251477.1_MULTISPECIES:_FxsA_family_protein_[Bacillus]|0.99|0.84||FxsA_cytoplasmic_membrane_protein	False	True
cluster_1036	1	PRED	PRED|XP_009056162.1_hypothetical_protein_LOTGIDRAFT_77934_partial_[Lottia_gigantea]|0.79|0.86||ZGC:195170	False	True
cluster_1037	1	PRED	PRED|XP_002176513.1_predicted_protein_partial_[Phaeodactylum_tricornutum_CCAP_1055/1]|0.6|0.76||MgtC/SapB/SrpB/YhiD_family	False	True
cluster_1038	2	PRED	PRED|WP_000177186.1_MULTISPECIES:_stress_response_translation_initiation_inhibitor_YciH_[Vibrio]|0.52|0.71||Archaeal/bacterial_translation_initiation_factor_SUI1|DENR/SUI1_Translation_Initiation_Factor;PRED|XP_001350120.1_mitochondrial_ribosomal_protein_L49_precursor_putative_[Plasmodium_falciparum_3D7]|0.83|0.77||Large_ribosomal_subunit_protein_mL49	False	True
cluster_1039	1	PRED	PRED|XP_021331619.1_endonuclease_domain-containing_1_protein-like_[Danio_rerio]|0.53|0.75||DNA/RNA_non-specific_endonuclease_superfamily|His-Me_finger_superfamily	False	True
